date	title	category	url	post_text
2017-09-28 16:22:00+00:00	Updating our Transparency Report and electronic privacy laws	Public Policy	https://blog.google/outreach-initiatives/public-policy/updating-our-transparency-report-and-electronic-privacy-laws/	
2017-09-20 21:20:00+00:00	Working together to combat terrorists online	Public Policy	https://blog.google/outreach-initiatives/public-policy/working-together-combat-terrorists-online/	
2017-09-07 20:40:00+00:00	Google’s fight against human trafficking	Public Policy	https://blog.google/outreach-initiatives/public-policy/googles-fight-against-human-trafficking/	
2017-07-27 23:00:00+00:00	A significant step toward modernizing our surveillance laws	Public Policy	https://blog.google/outreach-initiatives/public-policy/significant-step-toward-modernizing-our-surveillance-laws/	
2017-07-20 14:00:00+00:00	Applications now open for the Google Policy Fellowship in Europe and Africa	Google in Europe	https://blog.google/around-the-globe/google-europe/applications-now-open-google-policy-fellowship-europe-and-africa/	
2017-07-18 15:23:00+00:00	A new look for our Transparency Report	Public Policy	https://blog.google/outreach-initiatives/public-policy/new-look-our-transparency-report/	
2017-07-12 10:00:00+00:00	Net Neutrality Day of Action: Help preserve the open internet	Public Policy	https://blog.google/outreach-initiatives/public-policy/net-neutrality-day-action-help-preserve-open-internet/	
2017-07-11 18:00:00+00:00	Responding to the “Campaign for Accountability” report on academic research	Public Policy	https://blog.google/outreach-initiatives/public-policy/responding-campaign-accountability-report-academic-research/	
2017-06-27 10:15:00+00:00	The European Commission decision on online shopping: the other side of the story	Google in Europe	https://blog.google/around-the-globe/google-europe/european-commission-decision-shopping-google-story/	
2017-06-22 09:00:00+00:00	Digital security and due process: A new legal framework for the cloud era	Public Policy	https://blog.google/outreach-initiatives/public-policy/digital-security-and-due-process-new-legal-framework-cloud-era/	
2017-04-20 18:00:00+00:00	An international framework for digital evidence	Public Policy	https://blog.google/outreach-initiatives/public-policy/international-framework-digital-evidence/	
2017-04-03 05:00:00+00:00	Introducing PAX: the Android Networked Cross-License Agreement	Public Policy	https://blog.google/outreach-initiatives/public-policy/introducing-pax-android-networked-cross-license-agreement/	
2017-03-10 17:00:00+00:00	2017 Google North America Public Policy Fellowship now accepting applications	Public Policy	https://blog.google/outreach-initiatives/public-policy/2017-google-north-america-public-policy-fellowship-now-accepting-applications/	
2017-02-15 17:00:00+00:00	By Washington’s teeth! U.S. presidential history, now on Google Arts & Culture	Arts & Culture	https://blog.google/outreach-initiatives/arts-culture/washingtons-teeth-us-presidential-history-now-google-arts-culture/	
2017-02-06 23:30:00+00:00	Resounding support for updating electronic privacy laws	Public Policy	https://blog.google/outreach-initiatives/public-policy/resounding-support-updating-electronic-privacy-laws/	
2016-12-19 18:23:00+00:00	Reflecting on Google's GNI Engagement	Public Policy	https://blog.google/outreach-initiatives/public-policy/reflecting-googles-gni-engagement/	
2016-12-13 18:00:00+00:00	Sharing National Security Letters with the public	Public Policy	https://blog.google/outreach-initiatives/public-policy/sharing-national-security-letters-public/	
2016-12-07 18:10:00+00:00	The nature of water: unveiling the most detailed view of water on Earth	Google in Europe	https://blog.google/around-the-globe/google-europe/nature-water-unveiling-most-detailed-view-water-earth/	
2016-10-12 14:19:00+00:00	Building on Surveillance Reform	Public Policy	https://blog.google/outreach-initiatives/public-policy/building-surveillance-reform/	
